Summary,Freq,Budget,Annual Time,Engineer,Description,Category
Review Active Directory,Monthly,0.25,3,TSenn,"Review the Active Directory enviornment for issues via  repadmin, dcdiag. Review admin group memberships for unauthrized members",System
Windows Patch Installation - Post Verification,Monthly,1,12,TSenn,Review the operation of the client's server post update,System
Review Windows Server Logs,Monthly,0.5,6,TSenn,Review the client's windows server application and security logs for standout issues,System
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
