Code,BPA Engineer,Task Budget (SE Hrs),Agreement Budget,Differential,Default Ag setup
ABM,JStraub,47,100,53,MSA
ADT,TSenn,62,24,-38,BPA
AEP,JStraub,92,104,12,BPA
ARC,?????,92,,,MSA
BC,MGarcia,132,188,56,BPA
BTS,TSenn,21,24,3,BPA
CPS,Tsenn,100,100,0,MSA
EAS,JStraub,89,100,11,MSA
EFG,BHeuser,144,100,-44,MSA
ERG,JStraub,89,104,15,BPA
FEC,EThompson,199,260,61,BPA and Monthly Subscriptions
FSD,JStraub,95.5,78,-17.5,BPA
JGR,Bkew,58,100,42,MSA
KBH,JPhannenstill,82.5,100,17.5,MSA
KII,Bkew,90.5,104,13.5,BPA
LSM,?????,69.5,156,86.5,BPA
MND,TSenn,53.5,24,-29.5,BPA
RSB,?????,69,58,-11,BPA
SOS,TSenn,77.5,78,0.5,BPA
SST,JStraub,143,100,-43,MSA
TGI,JStraub,82,100,18,MSA
TPS,TSenn,79,104,25,BPA
USF,TSenn,112,208,96,BPA and Monthly Subscriptions
USW,Bkew,15,104,89,BPA
VLT,TSenn,65,18,-47,BPA
WMD,????,58,48,-10,BPA
,,,,,
,,,,,
,,,,,
,,2217,,,
