Summary,Freq,Budget,Annual Time,Engineer,Description,Category,
Review Backups (Azure),Weekly,0.25,13,JPhannenstill,Review the client's Azure backups for issues.,System,
Review Active Directory,Monthly,0.25,3,JPhannenstill,"Review the Active Directory enviornment for issues via  repadmin, dcdiag. Review admin group memberships for unauthrized members",System,
Windows Patch Installation - Post Verification,Monthly,1,12,JPhannenstill,Review the operation of the client's server post update,System,
Review Office 365 Portal,Monthly,0.25,3,JPhannenstill,Review the client's Office 365 portal for licensing or other issues,Cloud,
Review Azure Portal,Monthly,0.5,6,JPhannenstill,Review the Azure portal for issues.,Cloud,
Review Windows Server Logs,Monthly,0.5,6,JPhannenstill,Review the client's windows server application and security logs for standout issues,System,
Update vCenter,Quarterly,1,4,JPhannenstill,Update vCenter to the latest patch for the currently installed version,System,
Update Wireless Device Firmware,Quarterly,0.5,2,JPhannenstill,Update the firmware on the client's access points,Network,
Backup Hypervisor Configuration,Quarterly,0.25,1,JPhannenstill,"Take a backup of the hypervisor configuration and store the data in ITG, attach to the appropriate client device",System,
Update Server iLO Firmware,Quarterly,0.25,1,JPhannenstill,Update the iLO firmware on the cleint's servers,System,
Update NAS Firmware,Quarterly,0.25,1,JPhannenstill,Update the firmware on the client's NAS device(s),Storage,
Update ESXi,Quarterly,1,4,JPhannenstill,Install the latest ESXi patch for the currently installed version,System,
Update Firewall Firmware,Quarterly,0.5,2,JPhannenstill,Install the reccommended firewall firmware,Network,
Update Server Firmware,SemiAnnual,1,2,JPhannenstill,Update the firmware on the client's servers - For  HP servers check for a model specific BIOS update that may have been released after the latest ISO/,System,
Update Switch Firmware,Annual,1,1,JPhannenstill,Update the firmware on the client's switches,Network,
Update UPS Firmware,Annual,1,1,JPhannenstill,Update the firmware on the web controller of the client's UPS(s),System,
Review Group Policies,Annual,1,1,JPhannenstill,Work with the account's vCIO or primary engineer to review the configuration of the client's Group policies. Ensure that the configuraiton is still optimal for the client's environment.,System,
Nipper Studio Config Audit,Annual,1.5,1.5,JPhannenstill,Perform an audit of the client's switch configuration for issues,Security,
Review Network,Monthly,1,12,JPhannenstill,"Utilizing Auvik, review the client's network for issues. Ensure all infrastructure devices are SNMP \ login integrated. Ensure that all devices classified appropraitely.",Network,
Patch Group Review,Quarterly,0.5,2,JPhannenstill,Review the patch approval policies. Ensure all servers and workstations that are supposed to be automatically patched are (by being in the correct patch groups),System,
Update Wireless Device Firmware,Quarterly,1,4,JPhannenstill,Update the firmware on the client's access points,Network,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
